dataset,split_type,model,auroc_mean,auroc_std,auprc_mean,auprc_std,brier_mean,brier_std,f1_mean,f1_std,balanced_acc_mean,balanced_acc_std
chembl,cluster,chemprop_dmnn,0.7445523621126583,0.008027539533387675,0.832174043817572,0.009785070158424853,0.20958998337409435,0.007171106438444953,0.7691092477999383,0.024524754880783498,0.6778375273745547,0.012915716475670054
chembl,cluster,xgboost,0.6951496123003766,0.014363607973749236,0.7829626126745467,0.016525253891985336,0.19892706890601514,0.005494052896413765,0.6716522302836514,0.03560601348592349,0.649036156209828,0.015950760001028113
chembl,random,chemprop_dmnn,0.858535247011905,0.023328352862194156,0.9295321316153276,0.014800352706747172,0.14683112471335324,0.016349221499732895,0.8263331497648648,0.012026934131293812,0.7796242202434499,0.022831320736844674
chembl,random,xgboost,0.8494776248154767,0.02240148519050699,0.9144713649485492,0.011474422418844322,0.13970712300939372,0.009421318701980107,0.8153688638852061,0.01461141302723596,0.7728724786442381,0.021688029472589226
chembl,scaffold,chemprop_dmnn,0.8045474061537636,0.010154031861386024,0.880278008256371,0.01540876669609206,0.1762157246808415,0.0176055361181564,0.776708532244814,0.038884431156469744,0.7358505268816581,0.013106345887050891
chembl,scaffold,xgboost,0.7734683609383028,0.01360760230035811,0.8510290947097021,0.017718453769270594,0.17274896511798007,0.007038115387340957,0.7147034912212499,0.04508152438130405,0.7119152070108851,0.01600353353441544
tdc,cluster,chemprop_dmnn,0.7816280016280016,0.03833751108349474,0.8573012659805377,0.0219130727424628,0.23084312578036012,0.0022694452865502776,0.7074384744851108,0.021275441508985284,0.6292772835629978,0.05272611235625222
tdc,cluster,xgboost,0.755384500192696,0.03785808785589528,0.7703977767879523,0.0610964116322692,0.20156124560605906,0.032639998984094004,0.7192683263418593,0.09630733896575007,0.7094523319756291,0.06492586278682523
tdc,random,chemprop_dmnn,0.8851849206349206,0.011137611907495593,0.9214071294645626,0.012909514585979507,0.1331654406747979,0.01659195621331044,0.7894857381549112,0.07723705687202008,0.8086342592592594,0.039032629847948995
tdc,random,xgboost,0.7675412050078869,0.07960873374532358,0.8519614340711203,0.048627280466943694,0.18111849587876344,0.033569700343194626,0.7585655961701961,0.06421068916380185,0.6984901337428912,0.05992035007174821
tdc,scaffold,chemprop_dmnn,0.767442680776014,0.008413872261047702,0.8837555698126037,0.0030604713112456897,0.18037197138051356,0.0036910472176609034,0.6614131359036461,0.024833198207777584,0.6208201058201057,0.02258045378516759
tdc,scaffold,xgboost,0.7441810273435292,0.07085491467197512,0.7831311370421413,0.06620858979218237,0.1917134606412479,0.024675439440387324,0.7023728336779715,0.09950525305617826,0.6879487350086643,0.07204523187904088
