dataset,split_type,sim_bin,model,n_mean,n_seeds,auroc_mean,auroc_std,auprc_mean,auprc_std,brier_mean,brier_std,f1_mean,f1_std,balanced_acc_mean,balanced_acc_std
chembl,cluster,0.3-0.5,chemprop_dmnn,343.8,5,0.5404085665519704,0.011879680227953923,0.7225272433822006,0.005742862888305028,0.21684775975507115,0.0027874084088573775,0.5346919437351481,0.11645867159303755,0.5274137860926789,0.016423676763811772
chembl,cluster,0.3-0.5,xgboost,343.8,5,0.633143506121143,0.03086890035855616,0.7611144009905283,0.029303659572116933,0.2128047406673431,0.006639976326096856,0.658019815047751,0.04405368848042596,0.5982972052768503,0.03658365679383933
chembl,cluster,0.5-0.7,chemprop_dmnn,222.0,5,0.5545947971632698,0.029479968614771177,0.7733407602714031,0.03460307806948033,0.19241726291096847,0.011863091941874581,0.5705312617612479,0.10479883228436604,0.5478892491155171,0.036445581343175375
chembl,cluster,0.5-0.7,xgboost,222.0,5,0.7915464384294701,0.02255982746949614,0.8969794808047432,0.02137101348017224,0.15864363610744467,0.012948644267609078,0.7690729240110977,0.047073964415444584,0.7357761521390603,0.022305275013847728
chembl,cluster,<0.3,chemprop_dmnn,217.4,5,0.4714520969292785,0.01864702944726227,0.5211605508915316,0.024632355389650366,0.27956827152823516,0.010956817018948883,0.47808889367122936,0.09487560461419489,0.4639710012960438,0.02761316489963431
chembl,cluster,<0.3,xgboost,217.4,5,0.5947925897593541,0.022766128965239354,0.6124593586904827,0.03201590408256792,0.25581875443458557,0.010789315437862351,0.5194855755785989,0.04403355742076098,0.559960521917814,0.013986202770585014
chembl,cluster,>0.7,chemprop_dmnn,145.8,5,0.440760020769429,0.04818355171092867,0.684076253793435,0.02635187598034175,0.21267577218555936,0.003861725623290418,0.5722569168564717,0.10087601642753795,0.45763926110341835,0.03547659778591948
chembl,cluster,>0.7,xgboost,145.8,5,0.844544463162905,0.018744425185501266,0.9151816288537955,0.015254484493298925,0.14286966323852535,0.010205333105081173,0.7825998537879768,0.01703861734710802,0.7696078130392495,0.00881224103323289
chembl,random,0.3-0.5,chemprop_dmnn,54.2,5,0.4772537000818886,0.09564243318042485,0.598058056904408,0.0795552754898098,0.2561844422961751,0.03189414960162365,0.27980425371729717,0.1982847929248158,0.48441723336051545,0.06279119373528
chembl,random,0.3-0.5,xgboost,54.2,5,0.6878500736175981,0.07525708765715577,0.7569680083421296,0.062016228502236745,0.23422791361808773,0.03486397452341088,0.7110870555342539,0.041240263437199075,0.6561869975943202,0.05352055670742444
chembl,random,0.5-0.7,chemprop_dmnn,154.4,5,0.542040055680403,0.044966923299399594,0.7241368608811817,0.053193315973053275,0.2109370337293987,0.010940395615076716,0.33097072870565813,0.14472290390292025,0.5052610650334587,0.03168817903280777
chembl,random,0.5-0.7,xgboost,154.4,5,0.827021292242694,0.028166523982703008,0.902374292734559,0.014508645921665926,0.15186332166194913,0.015737904347401323,0.8052968227952526,0.027306092162091785,0.7562521936822864,0.03154140936707319
chembl,random,<0.3,chemprop_dmnn,19.2,5,0.5872474747474747,0.10679832255925903,0.6473109237747307,0.11627005305275362,0.280089569341211,0.0507246883646175,0.37259740259740254,0.1874613582490163,0.5253094128094128,0.06625576904986116
chembl,random,<0.3,xgboost,19.2,5,0.5833576146076146,0.18050827670384473,0.6727478782630125,0.08555973676279903,0.2688223421573639,0.05611276870524679,0.5414545454545454,0.22764155930431004,0.5310453435453436,0.20050597002458018
chembl,random,>0.7,chemprop_dmnn,701.2,5,0.501246845210378,0.029528971319891656,0.7243420364222573,0.018979586873223025,0.20603810370996273,0.0031204240514752474,0.4380251962460483,0.16235244740967555,0.51569820502366,0.024025113431510467
chembl,random,>0.7,xgboost,701.2,5,0.8735015080302482,0.014494579858692182,0.9351574342771253,0.00848290251678919,0.1265964418649673,0.006313505154673487,0.8323700628398342,0.009433599195676275,0.7916056680671634,0.01691805101350136
chembl,scaffold,0.3-0.5,chemprop_dmnn,152.6,5,0.5407257566989262,0.058882060490039176,0.6665694985044295,0.02307420085508095,0.23172391839901843,0.015176436464363004,0.430653151780185,0.05873943796608796,0.5321079263042099,0.04509979948795339
chembl,scaffold,0.3-0.5,xgboost,152.6,5,0.6570744033865487,0.03906758027542402,0.7477219894881777,0.03984807667893078,0.22034825682640072,0.01601869985455783,0.6229531985629546,0.047175300926359374,0.6195450380469852,0.034924277906978364
chembl,scaffold,0.5-0.7,chemprop_dmnn,266.2,5,0.5248050117519877,0.033647799784115064,0.7088013296977487,0.032888075211050104,0.21164205938539432,0.008407750163368073,0.4479811802079755,0.1079861323741955,0.5194365671288896,0.01370086312746214
chembl,scaffold,0.5-0.7,xgboost,266.2,5,0.7845386242648758,0.0284738025218892,0.8739708798430069,0.030226472083437282,0.1655527293682098,0.012203534628080414,0.7176601398479703,0.06471263279201768,0.7085703280809581,0.03673034325858562
chembl,scaffold,<0.3,chemprop_dmnn,62.2,5,0.524360589802385,0.07017836710427522,0.5575064959649312,0.02429445163146825,0.27424573497796934,0.01715732129789511,0.41919789785987777,0.09796600594067167,0.5222871260862145,0.057032632057616064
chembl,scaffold,<0.3,xgboost,62.2,5,0.5632971385530993,0.07421930116064811,0.5574454367350367,0.09918985923453587,0.27113900482654574,0.03318800163212177,0.43599151599151603,0.08013430015541223,0.5386461463968477,0.03909346593152432
chembl,scaffold,>0.7,chemprop_dmnn,448.0,5,0.5415117519541572,0.036251467209111585,0.7374201888757184,0.026657881462087942,0.20720419438732557,0.0058699819797411006,0.6081826404356795,0.10002699307031725,0.5332166778216646,0.011505000191733868
chembl,scaffold,>0.7,xgboost,448.0,5,0.8346207369490882,0.010235396376137124,0.9116808310020266,0.008048970099446051,0.14773333668708796,0.003645936351103942,0.7820557304337702,0.0317495222850601,0.7688937056091552,0.01217261011818961
tdc,cluster,0.3-0.5,chemprop_dmnn,23.0,5,0.7415384615384616,0.008770580193070261,0.7934649136685333,0.008369081637737164,0.24194571612123045,0.004688141165703325,0.7337566137566137,0.010564800820503957,0.5838461538461539,0.09422684450225462
tdc,cluster,0.3-0.5,xgboost,24.2,5,0.7233674719887955,0.06589250915199962,0.8025521017240405,0.035200072558925016,0.2219413131475448,0.03797167909988493,0.7236466973886329,0.07700805210559751,0.6896124218918336,0.07011040160481921
tdc,cluster,0.5-0.7,chemprop_dmnn,10.0,5,0.9047619047619048,0.0,0.9617346938775512,0.0,0.2231480300875046,0.007158533065723385,0.8674509803921568,0.06014208474566527,0.6333333333333332,0.18257418583505533
tdc,cluster,0.5-0.7,xgboost,9.4,5,0.7821428571428573,0.12433211595034221,0.8567279942279942,0.07359930688312329,0.15005697906017298,0.03828174458022364,0.8298035298035298,0.08945990574744352,0.7398809523809524,0.15212962905457036
tdc,cluster,<0.3,chemprop_dmnn,26.0,5,0.7846153846153846,0.013622324773043001,0.7672561101014305,0.009714312523217491,0.25047389421485555,0.004240662881969955,0.7151515151515151,0.06639061303092923,0.5923076923076923,0.12639751327042298
tdc,cluster,<0.3,xgboost,28.2,5,0.7775372653662128,0.09818138138020943,0.7051952741960481,0.18529478726934043,0.2017773956060409,0.0725381919799212,0.6707857879994102,0.15790415677226372,0.7174772960957172,0.08446292787895336
tdc,cluster,>0.7,chemprop_dmnn,4.0,5,1.0,0.0,1.0,0.0,0.21755472828432715,0.006237509899503708,0.8571428571428571,0.0,0.5,0.0
tdc,cluster,>0.7,xgboost,2.0,3,0.3333333333333333,,0.6944444444444444,,0.32814813653628033,0.3487903713193401,0.8571428571428571,,0.5,
tdc,random,0.3-0.5,chemprop_dmnn,17.0,5,0.6777777777777777,0.02060055135304348,0.7189440806107472,0.017609287583483568,0.27144664738475727,0.0010421733591066916,0.7453213453213453,0.0535713606517372,0.6277777777777778,0.11882916464559687
tdc,random,0.3-0.5,xgboost,16.0,5,0.8200000000000001,0.1332957122850553,0.8793779603527503,0.08687257096462943,0.17473475188016888,0.06310504849906558,0.8021904761904761,0.0718807907062962,0.7405952380952381,0.08320398124087006
tdc,random,0.5-0.7,chemprop_dmnn,4.0,5,,,,,0.10038333344652665,0.00041273776368583185,,,,
tdc,random,0.5-0.7,xgboost,9.6,5,0.7447916666666667,0.16699187022793124,0.8553199404761904,0.10462471237469063,0.19293693900108333,0.13140100471325802,0.7198183760683761,0.19312578244876072,0.6143353174603174,0.15726709780186196
