dataset,split_type,sim_bin,n_mean,n_total,n_seeds,low_power,calibration_method,auroc_mean,auroc_std,auprc_mean,auprc_std,brier_mean,brier_std,f1_mean,f1_std,balanced_acc_mean,balanced_acc_std
chembl,cluster,0.3-0.5,343.8,1719,5,False,sigmoid,0.6968319218696437,0.012572769076101102,0.8144057175838085,0.008525406157797424,0.19738682929291113,0.005739394696707793,0.7778315559501632,0.01715082466786092,0.6399252875892923,0.030598827392676067
chembl,cluster,0.5-0.7,222.0,1110,5,False,sigmoid,0.795283781933376,0.028712724276523008,0.9045882941155376,0.02930789577711244,0.15664193382638797,0.011954565468221644,0.8158273086915034,0.03345278828936048,0.7099227358967986,0.020156930412672473
chembl,cluster,<0.3,217.4,1087,5,False,sigmoid,0.6924099949029046,0.015699042014319615,0.7227975402254287,0.022817646129260016,0.23493068844344694,0.006106503607558133,0.6536502018578191,0.026850907285904793,0.6348949261842824,0.020194872050600728
chembl,cluster,>0.7,145.8,729,5,False,sigmoid,0.8569394891563803,0.018031824620281797,0.926473718023518,0.013566190069086935,0.13773376747162736,0.009999932081240571,0.8424506566589581,0.039951549290489406,0.7736041074035872,0.029110356707638514
chembl,random,0.3-0.5,54.2,271,5,False,isotonic,0.7292172172177309,0.09839272959436077,0.7883411444610235,0.1093275149810343,0.22758666265559277,0.05826752101443716,0.7246193894293345,0.03756109123561925,0.6813031084639454,0.06174585853148135
chembl,random,0.5-0.7,154.4,772,5,False,isotonic,0.8428265579738733,0.04364733413973552,0.9160871878597326,0.022662157987101694,0.14500924402074178,0.02157640730004375,0.8166348043490901,0.029707089471903876,0.764956771275631,0.04557115063143751
chembl,random,<0.3,19.2,96,5,False,isotonic,0.6552357364857365,0.14417757031480383,0.742469820602813,0.1454579324752586,0.2628886782814795,0.0734428125045779,0.6464242424242423,0.12353501490740444,0.6542249417249417,0.1524586450084719
chembl,random,>0.7,701.2,3506,5,False,isotonic,0.8746217944553457,0.013933568082050688,0.9369738701022697,0.00801820453636626,0.12726289756534634,0.007391278873509011,0.8388908612656879,0.007664813811223988,0.792320819806417,0.015399306249847523
chembl,scaffold,0.3-0.5,152.6,763,5,False,isotonic,0.7223306242848637,0.030418451835364464,0.7820124695956724,0.03577215372859014,0.20396399859601028,0.02046203985497259,0.7458377781321663,0.03912662866024605,0.6848560762694234,0.029537507821558895
chembl,scaffold,0.5-0.7,266.2,1331,5,False,isotonic,0.8241296695025084,0.02569012493346299,0.8949330402174482,0.019778154408215433,0.1497147489178336,0.011398551113019285,0.7845686069013195,0.05303469836654,0.7464643532139963,0.03239349374949605
chembl,scaffold,<0.3,62.2,311,5,False,isotonic,0.61487140510326,0.0830501289673375,0.6315847382299122,0.09584003334436089,0.26402164488031504,0.02958756609164364,0.552954518397834,0.06440635087857496,0.5908471081279638,0.06086245021335579
chembl,scaffold,>0.7,448.0,2240,5,False,isotonic,0.8390817283108813,0.016557542710343886,0.9116001947838874,0.014220308773498648,0.1437379552293379,0.006157994511852129,0.8067192978577676,0.03479546829972594,0.7707138274270597,0.019486630873549547
