split_type,seed,sim_bin,n,calibration_method,auroc,auprc,f1,balanced_acc,brier,dataset
cluster,11,0.3-0.5,347,sigmoid,0.6980572045331894,0.8138956159904317,0.7974947807933194,0.671902706036543,0.18904980402205887,chembl
cluster,11,0.5-0.7,218,sigmoid,0.8107716459364811,0.9248184829209022,0.8253968253968254,0.7213500784929356,0.1451287057399695,chembl
cluster,11,<0.3,221,sigmoid,0.674757281553398,0.696813186892044,0.6382978723404256,0.6139131150238604,0.2413507936872167,chembl
cluster,11,>0.7,143,sigmoid,0.8684839789574366,0.9387794142183481,0.8615384615384616,0.8020086083213773,0.12752439215625025,chembl
cluster,22,0.3-0.5,354,sigmoid,0.689381520119225,0.8069755592229129,0.7600849256900213,0.6486214605067064,0.19615987373632443,chembl
cluster,22,0.5-0.7,228,sigmoid,0.7705985231247571,0.8927547750478616,0.770764119601329,0.6961717839098329,0.16794275628247396,chembl
cluster,22,<0.3,211,sigmoid,0.7097826086956521,0.7460869437050217,0.6261682242990654,0.6246376811594203,0.23011874932813622,chembl
cluster,22,>0.7,136,sigmoid,0.8300405268490374,0.9055873764902022,0.7764705882352941,0.732016210739615,0.15178981231310776,chembl
cluster,33,0.3-0.5,353,sigmoid,0.7108907320591418,0.8116138082356553,0.759825327510917,0.662585647313379,0.1988960783598798,chembl
cluster,33,0.5-0.7,213,sigmoid,0.7765793528505393,0.8739893236458678,0.7986111111111112,0.712359674224081,0.16595324901365247,chembl
cluster,33,<0.3,218,sigmoid,0.6988712938005391,0.701912793541041,0.639269406392694,0.6379716981132075,0.23563967988495105,chembl
cluster,33,>0.7,145,sigmoid,0.8630393996247655,0.930496286247293,0.837696335078534,0.799249530956848,0.13028773845303843,chembl
cluster,44,0.3-0.5,332,sigmoid,0.7060861579562532,0.8289880448789035,0.7891440501043842,0.6162548004675238,0.19780628642838746,chembl
cluster,44,0.5-0.7,220,sigmoid,0.78,0.8865025447300803,0.8238993710691824,0.684375,0.16166556279619554,chembl
cluster,44,<0.3,223,sigmoid,0.6768381756208407,0.743271376013041,0.6772908366533864,0.630538873559487,0.240159509652978,chembl
cluster,44,>0.7,154,sigmoid,0.8480811294491947,0.9209448265776695,0.8558139534883721,0.759693776098628,0.1437919553532397,chembl
cluster,55,0.3-0.5,333,sigmoid,0.6797439946804089,0.81055555959114,0.782608695652174,0.6002618236223091,0.20502210391790493,chembl
cluster,55,0.5-0.7,231,sigmoid,0.838469387755102,0.9448763442329768,0.8604651162790697,0.7353571428571428,0.14251939529964835,chembl
