dataset,split_type,sim_bin,n_mean,n_total,n_seeds,low_power,auroc_mean,auroc_std,auprc_mean,auprc_std,brier_mean,brier_std,f1_mean,f1_std,balanced_acc_mean,balanced_acc_std
chembl,cluster,0.3-0.5,343.8,1719,5,False,0.633143506121143,0.03086890035855616,0.7611144009905283,0.029303659572116933,0.21280474066734315,0.006639976326096829,0.658019815047751,0.04405368848042596,0.5982972052768503,0.03658365679383933
chembl,cluster,0.5-0.7,222.0,1110,5,False,0.7915464384294701,0.02255982746949614,0.8969794808047432,0.021371013480172202,0.15864363610744475,0.0129486442676091,0.7690729240110977,0.047073964415444584,0.7357761521390603,0.022305275013847728
chembl,cluster,<0.3,217.4,1087,5,False,0.5947925897593541,0.022766128965239354,0.6124593586904827,0.03201590408256792,0.25581875443458557,0.010789315437862346,0.5194855755785989,0.044033557420760976,0.559960521917814,0.013986202770585014
chembl,cluster,>0.7,145.8,729,5,False,0.844544463162905,0.018744425185501266,0.9151816288537955,0.015254484493298939,0.1428696632385254,0.010205333105081177,0.7825998537879768,0.01703861734710802,0.7696078130392495,0.00881224103323289
chembl,random,0.3-0.5,54.2,271,5,False,0.6878500736175981,0.07525708765715577,0.7569680083421296,0.062016228502236745,0.23422791361808776,0.03486397452341087,0.7110870555342539,0.041240263437199075,0.6561869975943202,0.05352055670742444
chembl,random,0.5-0.7,154.4,772,5,False,0.827021292242694,0.028166523982703008,0.902374292734559,0.014508645921665899,0.15186332166194916,0.01573790434740133,0.8052968227952526,0.027306092162091785,0.7562521936822864,0.03154140936707319
chembl,random,<0.3,19.2,96,5,False,0.5833576146076146,0.1805082767038447,0.6727478782630125,0.08555973676279903,0.2688223421573639,0.056112768705246764,0.5414545454545455,0.22764155930431004,0.5310453435453436,0.20050597002458015
chembl,random,>0.7,701.2,3506,5,False,0.8735015080302482,0.014494579858692182,0.9351574342771253,0.00848290251678927,0.12659644186496735,0.006313505154673491,0.8323700628398342,0.009433599195676275,0.7916056680671634,0.01691805101350136
chembl,scaffold,0.3-0.5,152.6,763,5,False,0.6570744033865487,0.03906758027542402,0.7477219894881777,0.03984807667893078,0.22034825682640075,0.01601869985455786,0.6229531985629546,0.047175300926359374,0.6195450380469852,0.034924277906978364
chembl,scaffold,0.5-0.7,266.2,1331,5,False,0.7845386242648758,0.0284738025218892,0.8739708798430069,0.030226472083437282,0.16555272936820983,0.012203534628080414,0.7176601398479703,0.06471263279201768,0.7085703280809581,0.03673034325858562
chembl,scaffold,<0.3,62.2,311,5,False,0.5632971385530993,0.07421930116064811,0.5574454367350367,0.09918985923453587,0.27113900482654574,0.033188001632121766,0.43599151599151603,0.08013430015541222,0.5386461463968477,0.03909346593152432
chembl,scaffold,>0.7,448.0,2240,5,False,0.8346207369490882,0.010235396376137124,0.9116808310020268,0.008048970099446044,0.14773333668708802,0.0036459363511039127,0.7820557304337702,0.0317495222850601,0.7688937056091552,0.01217261011818961
