mol_id,split
05be05b7a3e72cb104e6f2560753a7de1fd9c96a,train
06e11443522de1a2f4f01fa346312bdd20b35f51,train
0cc151b69aba1d30b041711fca28549261848bac,train
10b45aa88e1835ba54fb3f174ecab4b313711f93,train
17c178040bbe2d7bd7787304a889d2be8b0fa466,train
2a30964890745ce9a9c2b64ba0e88b6e4c0cc99b,train
3511898779eff36e9aba9b16c41738c53bbf6c14,train
47c789bdc23c13e64ae755ae48bea06950eadfb8,train
4d350bb689e2ba395689a4472c36155acca7705e,train
57c2e9ce321a17395c19a0f2aed2e965282520ea,train
5c0738f7250e9dfbff09a7167cd3c4989582a0fd,train
6c91c2efd348ccb749bbfbb8bc430848949fb1bc,train
77820f14d8fcc9491a8008b1ac2b08aecdcc0101,train
7ddeab0b21313f3d233e0556270afd74072e4f7b,train
7f333f236aa4c4e2cdb016d45da6f0c8cf03e222,train
83fd26f724390118b06376edf6af1866b3e2c835,train
8cddac11007f120905e884339a0bf0f3ced70190,train
9cdb459a758c6e871f326d4ca3db96dd59f556fc,train
a3b01daac571b91abb147b4533741ebf27b938d3,train
a9d6a1a3e95f593c3c4e29f7c9c5cb2637197d27,train
b28e89a8014224b9bf03ce535e34ef432a82ac77,train
b6918457dcbeaae1cc0e0d7fb08cc002e63df492,train
b76e563d91116d258b6888ea9c3d2b2b357a4232,train
c27495b027e014506bf9579a4ee004365bb82054,train
caccbe326ffe7743ff2a70219a0e212bc67a74e6,train
cc4a08d69b96494e12d46fc3c21ba3a2277407e2,train
d6faaceb6137cb1a378e06f1e731dc585cebe1ed,train
debc7c72de4c098f2d770f4870826b35dde176b4,train
f03aca38e11f96c93ea80ef9ad157d55ee8be416,train
f9828a4042d23e8e639b75953ead90a7519a4b77,train
fc0793c25dec77cad315677038b440ca7e90e45a,train
fdc48c83ad03476d386e6e6018daeaaeffbbea6b,train
05bada555e0c405fdc8b8323d8711fbc09092909,train
1f22b350eb8c167d9938b2f5fc67fc8d3a4680ec,train
240c4e30649521b49b7dc30b899d820f4680f55d,train
323391e07caa1712c807fd331d0b12f59d79f26b,train
4a1e83ade2677b8d903e7fee1e1176a6758e9ff4,train
4badf160ebea919f12b61c649c4456100f3a700d,train
4f41e2715fc739b94d3f77a2abb096af34dd32ac,train
4fc1e52e4ca3c6f43dfe9ae8ebe1d4f0a0a1cda0,train
7d2ee4fecd2c6551895160db4d85aa6a405b68e7,train
83e60a9601006a109c9d8c43fe700e0c0ed535c0,train
9b232d8034ce617a63c3bb72e78e94ae0cefcaf0,train
9c29d650bbb703702dcc3aa4f80447c05615d242,train
a18a248921db915999bb4d4b40dce30e8f50c604,train
a49581dc87399753cbcf9f4ee636c7be5f5c9c62,train
b4448a122c1466f2718da7b5645fc906e56fc8d9,train
d71661a6c787d26afd0eee2bcdfa94ad817f7481,train
fb0c4d30500d0feadc4b9dd164f1b8d8914d5724,train
1299e7b6436288b87801a785151f0014edb1a88f,train
160d5424a963da12519981e6418df42b432aa682,train
1b677040bb5795955bf48724653cb5dbeda08b98,train
2c43b35a5688f6bda10ff415ac21a9d3bc145284,train
3714c7bf0e83862317bdbf27f9260499c6752d53,train
