dataset,split_type,sim_bin,n_mean,n_total,n_seeds,low_power,auroc_mean,auroc_std,auprc_mean,auprc_std,brier_mean,brier_std,f1_mean,f1_std,balanced_acc_mean,balanced_acc_std
tdc,cluster,0.3-0.5,23.0,115,5,False,0.7415384615384616,0.008770580193070261,0.7934649136685333,0.008369081637737164,0.24194571612123045,0.004688141165703325,0.7337566137566137,0.010564800820503957,0.5838461538461539,0.09422684450225462
tdc,cluster,0.5-0.7,10.0,50,5,False,0.9047619047619048,0.0,0.9617346938775512,0.0,0.2231480300875046,0.007158533065723385,0.8674509803921568,0.06014208474566527,0.6333333333333332,0.18257418583505533
tdc,cluster,<0.3,26.0,130,5,False,0.7846153846153846,0.013622324773043001,0.7672561101014305,0.009714312523217491,0.25047389421485555,0.004240662881969955,0.7151515151515151,0.06639061303092923,0.5923076923076923,0.12639751327042298
tdc,cluster,>0.7,4.0,20,5,False,1.0,0.0,1.0,0.0,0.21755472828432715,0.006237509899503708,0.8571428571428571,0.0,0.5,0.0
tdc,random,0.3-0.5,17.0,85,5,False,0.6777777777777777,0.02060055135304348,0.7189440806107472,0.017609287583483568,0.27144664738475727,0.0010421733591066916,0.7453213453213453,0.0535713606517372,0.6277777777777778,0.11882916464559687
tdc,random,0.5-0.7,4.0,20,5,False,,,,,0.10038333344652665,0.00041273776368583185,,,,
tdc,random,<0.3,13.0,65,5,False,0.919047619047619,0.01304101327393254,0.8984126984126982,0.02282177322938184,0.29543195758511287,0.0017631657379277787,0.7669172932330828,0.12354644154251868,0.7142857142857143,0.19561519910898795
tdc,random,>0.7,30.0,150,5,False,0.2352,0.02373183515870614,0.7581908580806767,0.00993162476183005,0.1618022261321508,0.0001395794359909564,0.883745333467864,0.03809018808581545,0.476,0.03577708763999664
tdc,scaffold,0.3-0.5,15.0,75,5,False,0.6388888888888888,0.0,0.8128276815776815,0.0,0.18842255446191844,0.00043549337765364177,0.48758169934640516,0.03799854079411411,0.5083333333333333,0.01863389981249823
tdc,scaffold,0.5-0.7,11.0,55,5,False,0.3333333333333333,0.0,0.7995510662177328,0.0,0.18492348786646842,0.00023892289055723538,0.6666666666666666,0.0,0.5277777777777778,0.0
tdc,scaffold,<0.3,24.0,120,5,False,0.7377777777777778,0.008445743889623242,0.647773485162546,0.0074533857259185534,0.2911513763490545,0.0004122224385378855,0.4705882352941176,0.0,0.5888888888888888,0.0
tdc,scaffold,>0.7,13.0,65,5,False,0.65,0.03726779962499646,0.9688843563843565,0.004140866624999579,0.15454117388728425,0.00018891273175822084,0.8172030867683041,0.03808730497696506,0.375,0.029462782549439494
