dataset,split_type,sim_bin,n_mean,n_total,n_seeds,low_power,calibration_method,auroc_mean,auroc_std,auprc_mean,auprc_std,brier_mean,brier_std,f1_mean,f1_std,balanced_acc_mean,balanced_acc_std
tdc,cluster,0.3-0.5,23.0,115,5,False,none,0.6707692307692309,0.03281650616569468,0.8077597891298097,0.016235566138241165,0.24082747719682054,0.00649279827494387,0.5995238095238096,0.03914621698012307,0.54,0.05630380398512404
tdc,cluster,0.5-0.7,10.0,50,5,False,none,0.9047619047619048,0.0,0.9617346938775512,0.0,0.1214697046865589,0.006166734499382704,0.8852747252747252,0.0727779004308882,0.7904761904761903,0.06388765649999396
tdc,cluster,<0.3,26.0,130,5,False,none,0.8378698224852069,0.014250407785552997,0.8605903196508621,0.014247972084029269,0.2717729513758549,0.014025819102024195,0.7206722689075631,0.020251926495989322,0.6307692307692307,0.021066252211737146
tdc,cluster,>0.7,4.0,20,5,False,none,1.0,0.0,1.0,0.0,0.22303393432853524,0.003683885129052381,0.8571428571428571,0.0,0.5,0.0
tdc,random,0.3-0.5,17.0,85,5,False,none,0.8638888888888889,0.03458305443885756,0.8550448933782266,0.03680097938605299,0.1139514388407629,0.004228762721015584,0.7187955182072828,0.1208407711709216,0.7458333333333333,0.08225576455464466
tdc,random,0.5-0.7,4.0,20,5,False,none,,,,,0.26439143267975374,0.006655965132327785,,,,
tdc,random,<0.3,13.0,65,5,False,none,0.9285714285714286,0.055838282855040826,0.897063492063492,0.08655006619394275,0.11374440227856908,0.017060709563295702,0.8625641025641027,0.056891883344924975,0.8666666666666668,0.06151433658458961
tdc,random,>0.7,30.0,150,5,False,none,0.8848,0.010733126291999,0.9766039227632335,0.0028286455130794317,0.13427088094559964,0.028541618835003366,0.7999502239920359,0.07908868655045186,0.8200000000000001,0.024494897427831803
tdc,scaffold,0.3-0.5,15.0,75,5,False,none,1.0,0.0,1.0,0.0,0.07494362477942046,0.006265950648608129,0.5776470588235294,0.13003858889605088,0.7083333333333333,0.0721687836487032
tdc,scaffold,0.5-0.7,11.0,55,5,False,none,0.8111111111111111,0.03042903097250921,0.9576615359948694,0.007244959473373435,0.12529902756927577,0.009454446417628964,0.7699999999999999,0.02738612787525833,0.6833333333333332,0.13693063937629152
tdc,scaffold,<0.3,24.0,120,5,False,none,0.7303703703703703,0.009938079899999081,0.742219273101626,0.01759230216172756,0.3231751095906462,0.00908049154794022,0.5627794977640178,0.02612454707903967,0.6511111111111111,0.02788866755113586
tdc,scaffold,>0.7,13.0,65,5,False,none,0.5333333333333334,0.04564354645876387,0.9552269489769492,0.005705443307345581,0.0806237597459743,0.002672245525013096,0.859288537549407,0.02297935470948397,0.4083333333333334,0.01863389981249826
