dataset,split_type,seed,sim_bin,n,auroc,auprc,brier,f1,balanced_acc
chembl,cluster,11,0.3-0.5,347,0.6980572045331894,0.8138956159904317,0.2133509733781685,0.7924528301886793,0.6677010253642741
chembl,cluster,11,0.5-0.7,218,0.8107716459364811,0.9248184829209022,0.1449475515920953,0.8253968253968254,0.7213500784929356
chembl,cluster,11,<0.3,221,0.674757281553398,0.696813186892044,0.2858059607545281,0.6410256410256411,0.6187674839558992
chembl,cluster,11,>0.7,143,0.8684839789574366,0.938779414218348,0.1198823978774462,0.8615384615384616,0.8020086083213773
chembl,cluster,22,0.3-0.5,354,0.689381520119225,0.8069755592229129,0.2287879831134169,0.7600849256900213,0.6486214605067064
chembl,cluster,22,0.5-0.7,228,0.7705985231247571,0.8927547750478616,0.1898260907670255,0.7666666666666667,0.6931597357170618
chembl,cluster,22,<0.3,211,0.7097826086956521,0.7460869437050217,0.2661539542006773,0.6291079812206573,0.6298460144927536
chembl,cluster,22,>0.7,136,0.8300405268490374,0.9055873764902022,0.1586143746098952,0.7764705882352941,0.732016210739615
chembl,cluster,33,0.3-0.5,353,0.7108907320591418,0.8116138082356553,0.2296802073181839,0.7652173913043478,0.6668409664623152
chembl,cluster,33,0.5-0.7,213,0.7765793528505393,0.8739893236458678,0.1843512175195939,0.7986111111111112,0.712359674224081
chembl,cluster,33,<0.3,218,0.6988712938005391,0.701912793541041,0.2744180358318711,0.6454545454545455,0.6424359838274932
chembl,cluster,33,>0.7,145,0.8630393996247655,0.930496286247293,0.1257695189991895,0.837696335078534,0.799249530956848
chembl,cluster,44,0.3-0.5,332,0.7060861579562532,0.8289880448789035,0.2233671021230425,0.7924528301886793,0.6256887627316747
chembl,cluster,44,0.5-0.7,220,0.78,0.8865025447300803,0.1793661651984147,0.8238993710691824,0.684375
chembl,cluster,44,<0.3,223,0.6768381756208407,0.743271376013041,0.2761031924418898,0.6772908366533864,0.630538873559487
chembl,cluster,44,>0.7,154,0.8480811294491947,0.9209448265776696,0.1452500821644994,0.8558139534883721,0.759693776098628
chembl,cluster,55,0.3-0.5,333,0.6797439946804089,0.81055555959114,0.2392609564041138,0.782608695652174,0.6002618236223091
chembl,cluster,55,0.5-0.7,231,0.838469387755102,0.9448763442329768,0.1421767472930437,0.8670520231213873,0.7410714285714286
chembl,cluster,55,<0.3,214,0.7018006148440932,0.7259034009759964,0.2700717792378636,0.6899563318777293,0.6667105841018885
chembl,cluster,55,>0.7,151,0.8750524109014675,0.9365606865840768,0.1280318097884582,0.8767123287671232,0.7639412997903564
chembl,random,11,0.3-0.5,58,0.6921052631578947,0.7860410006382506,0.227111204470626,0.7222222222222222,0.6421052631578947
chembl,random,11,0.5-0.7,154,0.853007135575943,0.9190901909270042,0.140404828021148,0.84,0.8075433231396534
chembl,random,11,<0.3,13,0.7222222222222222,0.9021756021756022,0.2588764847048426,0.8,0.8333333333333333
chembl,random,11,>0.7,704,0.8858054226475278,0.9432386503318848,0.1294848743898429,0.8503767491926802,0.8056884635832005
chembl,random,22,0.3-0.5,45,0.7797619047619048,0.8495177052716687,0.2749702662934155,0.7692307692307693,0.7261904761904763
chembl,random,22,0.5-0.7,159,0.888888888888889,0.9521677760777396,0.1244813048100213,0.8269230769230769,0.7728040540540541
chembl,random,22,<0.3,19,0.6363636363636364,0.8106007554536967,0.3936679525486403,0.5454545454545454,0.4602272727272727
