epoch,step,train_loss_epoch,train_loss_step,val/prc,val/roc,val_loss
0,49,,0.6526663303375244,,,
0,99,,0.6364240646362305,,,
0,116,,,0.7085310220718384,0.47814056277275085,0.6225161552429199
0,116,0.6242422461509705,,,,
1,149,,0.6014658808708191,,,
1,199,,0.6653872728347778,,,
1,233,,,0.7520706653594971,0.5681018829345703,0.6188032627105713
1,233,0.6135039925575256,,,,
2,249,,0.6223558187484741,,,
2,299,,0.5525498390197754,,,
2,349,,0.6056006550788879,,,
2,350,,,0.8513056039810181,0.7013447284698486,0.5583804845809937
2,350,0.5843852162361145,,,,
3,399,,0.7282788753509521,,,
3,449,,0.5885180234909058,,,
3,467,,,0.8598663210868835,0.7210846543312073,0.5720685124397278
3,467,0.550750732421875,,,,
4,499,,0.6013625860214233,,,
4,549,,0.48715096712112427,,,
4,584,,,0.867224931716919,0.737183153629303,0.5332671999931335
4,584,0.5329749584197998,,,,
5,599,,0.5333874821662903,,,
5,649,,0.586297869682312,,,
5,699,,0.5082311034202576,,,
5,701,,,0.870299220085144,0.7388654947280884,0.53767991065979
5,701,0.5215924978256226,,,,
6,749,,0.4442232847213745,,,
6,799,,0.6250708103179932,,,
6,818,,,0.8810465335845947,0.7530437111854553,0.539953351020813
6,818,0.5072755813598633,,,,
7,849,,0.5914045572280884,,,
7,899,,0.4072793424129486,,,
7,935,,,0.8839569091796875,0.7652573585510254,0.5462397336959839
7,935,0.494882732629776,,,,
8,949,,0.49928954243659973,,,
8,999,,0.5537912845611572,,,
8,1049,,0.36604246497154236,,,
8,1052,,,0.8890253901481628,0.770016610622406,0.506381094455719
8,1052,0.480516254901886,,,,
9,1099,,0.47245752811431885,,,
9,1149,,0.449002742767334,,,
9,1169,,,0.8938961625099182,0.7837244272232056,0.5055316686630249
9,1169,0.46280643343925476,,,,
10,1199,,0.34010857343673706,,,
10,1249,,0.6439692378044128,,,
10,1286,,,0.8973572850227356,0.7952905297279358,0.4896567463874817
10,1286,0.4494369924068451,,,,
11,1299,,0.3249267339706421,,,
11,1349,,0.5087037086486816,,,
11,1399,,0.4776058495044708,,,
11,1403,,,0.8981788158416748,0.7992473840713501,0.5120682120323181
11,1403,0.4357823431491852,,,,
12,1449,,0.41655123233795166,,,
12,1499,,0.5339824557304382,,,
12,1520,,,0.9059529304504395,0.8059436082839966,0.4800851345062256
12,1520,0.43581345677375793,,,,
13,1549,,0.35559552907943726,,,
13,1599,,0.4070071876049042,,,
13,1637,,,0.903418779373169,0.7994189262390137,0.5961862206459045
13,1637,0.4132714569568634,,,,
14,1649,,0.5032678842544556,,,
14,1699,,0.30197232961654663,,,
14,1749,,0.3711341917514801,,,
14,1754,,,0.90339195728302,0.7989374399185181,0.507854163646698
14,1754,0.42460018396377563,,,,
15,1799,,0.33854663372039795,,,
15,1849,,0.40399032831192017,,,
15,1871,,,0.9073830842971802,0.815395712852478,0.5523027181625366
15,1871,0.40665772557258606,,,,
16,1899,,0.4727989733219147,,,
16,1949,,0.3570428490638733,,,
16,1988,,,0.9137284755706787,0.8194521069526672,0.5001835227012634
16,1988,0.39347410202026367,,,,
17,1999,,0.3282310664653778,,,
17,2049,,0.2840944230556488,,,
17,2099,,0.4834907650947571,,,
17,2105,,,0.9127529263496399,0.8199446201324463,0.5394543409347534
17,2105,0.3866514563560486,,,,
18,2149,,0.44940608739852905,,,
18,2199,,0.4014948606491089,,,
18,2222,,,0.912235677242279,0.8248423337936401,0.48526495695114136
18,2222,0.3809564709663391,,,,
19,2249,,0.31013166904449463,,,
19,2299,,0.41389667987823486,,,
19,2339,,,0.9179887771606445,0.829230785369873,0.47300687432289124
19,2339,0.36846494674682617,,,,
20,2349,,0.4643917679786682,,,
20,2399,,0.3555801510810852,,,
20,2449,,0.45888233184814453,,,
20,2456,,,0.9193857312202454,0.8337299227714539,0.4588432013988495
20,2456,0.36070117354393005,,,,
21,2499,,0.39790070056915283,,,
21,2549,,0.3407418429851532,,,
21,2573,,,0.9189256429672241,0.830708384513855,0.4770132601261139
21,2573,0.3631795048713684,,,,
22,2599,,0.3059889078140259,,,
22,2649,,0.3325459361076355,,,
22,2690,,,0.9225570559501648,0.8409463167190552,0.4642631411552429
22,2690,0.3520350456237793,,,,
23,2699,,0.28864026069641113,,,
23,2749,,0.2849354147911072,,,
23,2799,,0.35319751501083374,,,
23,2807,,,0.9209836721420288,0.8355395793914795,0.48537224531173706
23,2807,0.34637317061424255,,,,
24,2849,,0.28624045848846436,,,
24,2899,,0.2545469105243683,,,
24,2924,,,0.9250710010528564,0.840641975402832,0.5460116863250732
24,2924,0.3375890254974365,,,,
25,2949,,0.44862300157546997,,,
25,2999,,0.2006971538066864,,,
25,3041,,,0.9280874729156494,0.8470227122306824,0.4594561755657196
25,3041,0.3386727273464203,,,,
26,3049,,0.4132670760154724,,,
26,3099,,0.3222689628601074,,,
26,3149,,0.33921676874160767,,,
26,3158,,,0.9260146617889404,0.8458771109580994,0.46123409271240234
26,3158,0.32056546211242676,,,,
27,3199,,0.27659720182418823,,,
27,3249,,0.2724671959877014,,,
27,3275,,,0.9265182614326477,0.8474211692810059,0.4701225459575653
27,3275,0.3305705785751343,,,,
28,3299,,0.2948130965232849,,,
28,3349,,0.3795625567436218,,,
28,3392,,,0.9283957481384277,0.8449087142944336,0.46688055992126465
28,3392,0.31381815671920776,,,,
29,3399,,0.24900200963020325,,,
29,3449,,0.28352344036102295,,,
29,3499,,0.3112632930278778,,,
29,3509,,,0.9267261028289795,0.8486552238464355,0.489121675491333
29,3509,0.3069300949573517,,,,
