mol_id,split
8e8840ffe5d2b7540dda240a3b9481ccf70e5541,train
0af049e7fa9e92f80c863ebf4a07f6ab48063fc8,train
d4560c3f91c4683d126edff7788df431f2e8ee01,train
8af56fca9c9192e24f2894a68d2a5e8e427d22c3,train
a00249a80e2644ba72187030307963253a738dac,train
042daebdbbf12b13f0d47e849613a7db6e5699b8,train
934f83ac98b017cdc12b3e2f4ee12ee19557cfb3,train
4c35400086df125d9a569eea8bec2db7bfe80793,train
47d6518ca212d0ec3aea7a7c789e37a47a0bacd5,train
1a3efc10bd3c4b9fd5bfbadb29d81fa1491bede3,train
5686668a19d8eb306c296d625ba06ab8b5acb2ef,train
4efd78793c38cb229c14f90067863fda9cc1b524,train
b969643869526e3ee03d4d1af5fa2a9185e6d498,train
e05c7e0b69e19195c7ae1a069831f0ff2bef4a2b,train
58d953201deeaa8ccee0cc4b3f20a847d4057d7b,train
905634519b9922574b7fd1997b14a929ab05c5e4,train
ae42304f29979fdd9f8f181a1233098a075c9217,train
0812dc97589d4ed8de077590b522077ded7773e0,train
87157e2465fecc0bb7311ff59c9a657649685e4f,train
0e4192856f7c308c8be60d233f3a6d2a05e4d068,train
edbd650bef33b6a73be16fc1841d1710f4ea3316,train
7a3003c100bbae3a230d0a63629821ef47eda8ba,train
520bbbc678780a221aaa65b18ded02ddae25430c,train
ec537307923862392ca58299cf8a8cc6b029e91f,train
45fce03c9e2afb4c3af6fa2c7133043369c92df6,train
a5ed9bcbc62b334ef17627f6b773b162bddf4b3c,train
6768ac9b4a775bf4d0dbefb3537ece0b0afbe638,train
ae3d4ab6f985a3d3b596c434e6269a6c6195997d,train
18f610b1d410d1bba5e718e90f996c5e8739de35,train
ccc67ff074115d6f4447abab9f5f1c73aae17f09,train
35e81573ce321f2b70c3982f7634ce92a93fc72b,train
5472bd239dd16933b4d3b0b1b3055fbdfaf46e42,train
375c275b7f3880859b913e3ce15b85c3ac4590d8,train
2213a8b82982d41567032714f0aa9762f97e3ae0,train
7e243ed8cbe5371f0e609bf4a7df9d54e249a338,train
6c142a91cc22e5f04d7ce7edde425fc3e8dc2026,train
024e63671b8a7e9104c8c85c4ba582e6c17456d7,train
7499959f5bb7158874a0b24301b3a07bd63a19f4,train
e388eb881a8d3c99424db71d95cd7df5c8fda9b7,train
d87fb3913aff043c402f7e47e89381dba3566a13,train
5bf7e542b6ab53b14b844e053d82a8a81f00e6fb,train
1d50427dc80c55cfe97f893fa8f1a0b4ff82b32d,train
c554f39c72fdc910a71db109de612a5639d8c607,train
a25f62c031a28b2c58a3a2c8300a41c5d496180d,train
3aab341dd1540ab3881d881d5ee9e6bd471b8a6f,train
d73b318678639e08256ecf8e10fa6dfd0d0f53c1,train
